gstin,registration_date,state_code,segment,sector
29ABCDE1054Z4,2023-05-11,UP,small,trading
29ABCDE1055Z5,2023-04-21,UP,micro,manufacturing
29ABCDE1056Z6,2023-04-20,GJ,micro,manufacturing
29ABCDE1057Z7,2022-05-11,GJ,medium,trading
29ABCDE1058Z8,2024-05-26,KA,micro,logistics
29ABCDE1059Z9,2022-02-06,KA,micro,trading
29ABCDE1060Z0,2022-11-24,UP,small,services
29ABCDE1061Z1,2022-10-21,GJ,micro,trading
29ABCDE1062Z2,2023-02-27,GJ,micro,manufacturing
29ABCDE1063Z3,2025-01-02,UP,micro,trading
29ABCDE1064Z4,2024-05-19,DL,medium,services
29ABCDE1065Z5,2025-12-07,GJ,micro,services
29ABCDE1066Z6,2023-05-25,GJ,micro,trading
29ABCDE1067Z7,2025-09-08,MH,micro,manufacturing
29ABCDE1068Z8,2022-03-07,KA,micro,services
29ABCDE1069Z9,2024-01-02,TN,small,manufacturing
29ABCDE1070Z0,2025-03-04,MH,micro,logistics
29ABCDE1071Z1,2024-02-11,TN,small,manufacturing
29ABCDE1072Z2,2025-09-15,BR,small,manufacturing
29ABCDE1073Z3,2023-04-02,MH,small,trading
29ABCDE1074Z4,2022-02-18,KA,micro,trading
29ABCDE1075Z5,2025-01-27,MH,medium,trading
29ABCDE1076Z6,2022-04-09,MH,small,trading
29ABCDE1077Z7,2025-01-13,UP,micro,logistics
29ABCDE1078Z8,2024-11-29,GJ,small,trading
29ABCDE1079Z9,2025-05-09,UP,medium,trading
29ABCDE1080Z0,2023-11-26,UP,micro,trading
29ABCDE1081Z1,2025-07-22,TN,medium,manufacturing
29ABCDE1082Z2,2022-09-04,BR,micro,trading
29ABCDE1083Z3,2023-09-22,MH,small,manufacturing
29ABCDE1084Z4,2022-06-26,KA,medium,services
29ABCDE1085Z5,2025-01-16,KA,micro,manufacturing
29ABCDE1086Z6,2024-11-01,UP,small,logistics
29ABCDE1087Z7,2025-03-15,GJ,micro,trading
29ABCDE1088Z8,2025-01-13,MH,small,logistics
29ABCDE1089Z9,2023-03-24,GJ,small,trading
29ABCDE1090Z0,2022-04-09,KA,micro,manufacturing
29ABCDE1091Z1,2025-09-09,UP,micro,services
29ABCDE1092Z2,2023-12-16,TN,micro,services
29ABCDE1093Z3,2022-05-17,TN,micro,services
29ABCDE1094Z4,2025-09-06,MH,micro,trading
29ABCDE1095Z5,2025-12-12,DL,micro,services
29ABCDE1096Z6,2023-10-08,TN,micro,services
29ABCDE1097Z7,2025-01-21,KA,micro,services
29ABCDE1098Z8,2022-02-22,KA,small,trading
29ABCDE1099Z9,2022-05-16,WB,small,services
29ABCDE1100Z0,2023-02-06,WB,small,services
29ABCDE1101Z1,2024-08-09,UP,micro,logistics
29ABCDE1102Z2,2022-07-13,MH,medium,trading
29ABCDE1103Z3,2022-02-19,WB,small,trading
29ABCDE1104Z4,2024-08-27,UP,micro,services
29ABCDE1105Z5,2025-01-21,UP,micro,trading
29ABCDE1106Z6,2024-12-07,TN,small,services
29ABCDE1107Z7,2025-03-04,MH,micro,trading
29ABCDE1108Z8,2025-03-10,KA,micro,manufacturing
29ABCDE1109Z9,2024-05-23,WB,medium,services
29ABCDE1110Z0,2024-01-24,GJ,micro,manufacturing
29ABCDE1111Z1,2025-05-27,MH,micro,manufacturing
29ABCDE1112Z2,2023-05-20,MH,medium,services
29ABCDE1113Z3,2022-05-22,DL,small,services
29ABCDE1114Z4,2024-12-26,MH,micro,logistics
29ABCDE1115Z5,2023-02-05,BR,medium,manufacturing
29ABCDE1116Z6,2025-11-20,UP,medium,manufacturing
29ABCDE1117Z7,2023-08-24,UP,small,logistics
29ABCDE1118Z8,2025-05-20,TN,small,manufacturing
29ABCDE1119Z9,2022-03-03,DL,micro,manufacturing
29ABCDE1120Z0,2024-08-13,DL,micro,trading
29ABCDE1121Z1,2023-10-12,DL,small,trading
29ABCDE1122Z2,2023-11-02,KA,micro,logistics
29ABCDE1123Z3,2023-01-20,TN,small,services
29ABCDE1124Z4,2025-11-09,KA,small,services
29ABCDE1125Z5,2023-07-24,GJ,micro,manufacturing
29ABCDE1126Z6,2025-05-18,MH,small,trading
29ABCDE1127Z7,2023-09-09,KA,micro,trading
29ABCDE1128Z8,2022-03-12,KA,medium,manufacturing
29ABCDE1129Z9,2025-06-29,DL,micro,manufacturing
29ABCDE1130Z0,2022-09-26,MH,small,trading
29ABCDE1131Z1,2023-01-27,WB,small,manufacturing
29ABCDE1132Z2,2025-06-02,DL,micro,trading
29ABCDE1133Z3,2025-07-19,TN,small,services
29ABCDE1134Z4,2025-08-22,DL,small,manufacturing
29ABCDE1135Z5,2023-09-10,KA,small,trading
29ABCDE1136Z6,2025-01-02,WB,small,services
29ABCDE1137Z7,2023-04-21,GJ,medium,services
29ABCDE1138Z8,2024-12-09,UP,micro,services
29ABCDE1139Z9,2023-12-30,KA,micro,trading
29ABCDE1140Z0,2022-03-17,GJ,micro,services
29ABCDE1141Z1,2023-08-29,GJ,small,manufacturing
29ABCDE1142Z2,2023-11-10,WB,small,trading
29ABCDE1143Z3,2023-01-09,DL,micro,manufacturing
29ABCDE1144Z4,2023-06-27,GJ,micro,trading
29ABCDE1145Z5,2023-12-30,MH,medium,trading
29ABCDE1146Z6,2022-03-14,TN,micro,manufacturing
29ABCDE1147Z7,2022-08-09,GJ,small,services
29ABCDE1148Z8,2025-01-16,TN,micro,trading
29ABCDE1149Z9,2023-05-26,KA,medium,manufacturing
29ABCDE1150Z0,2024-06-01,BR,micro,manufacturing
29ABCDE1151Z1,2024-03-31,BR,micro,trading
29ABCDE1152Z2,2024-03-10,KA,medium,trading
29ABCDE1153Z3,2023-08-23,GJ,medium,trading
29ABCDE1154Z4,2023-12-02,KA,micro,manufacturing
29ABCDE1155Z5,2025-04-09,UP,micro,services
29ABCDE1156Z6,2025-10-31,MH,small,logistics
29ABCDE1157Z7,2023-01-08,DL,medium,trading
29ABCDE1158Z8,2024-08-28,UP,micro,services
29ABCDE1159Z9,2025-11-07,UP,micro,services
29ABCDE1160Z0,2022-01-11,KA,small,logistics
29ABCDE1161Z1,2025-02-11,WB,small,services
29ABCDE1162Z2,2023-12-22,MH,small,logistics
29ABCDE1163Z3,2025-11-04,KA,small,logistics
29ABCDE1164Z4,2024-04-18,GJ,micro,services
29ABCDE1165Z5,2025-04-30,TN,medium,trading
29ABCDE1166Z6,2022-08-29,BR,medium,manufacturing
29ABCDE1167Z7,2022-07-26,BR,small,manufacturing
29ABCDE1168Z8,2025-09-05,MH,micro,trading
29ABCDE1169Z9,2024-02-03,WB,micro,trading
29ABCDE1170Z0,2024-03-20,MH,small,trading
29ABCDE1171Z1,2022-09-04,GJ,micro,trading
29ABCDE1172Z2,2022-11-25,MH,medium,trading
29ABCDE1173Z3,2025-04-01,WB,micro,services
29ABCDE1174Z4,2023-03-16,MH,small,manufacturing
29ABCDE1175Z5,2024-04-27,KA,medium,manufacturing
29ABCDE1176Z6,2023-04-04,TN,micro,services
29ABCDE1177Z7,2023-01-18,WB,micro,services
29ABCDE1178Z8,2022-08-29,BR,small,logistics
29ABCDE1179Z9,2025-09-09,UP,small,logistics
29ABCDE1180Z0,2025-09-25,BR,micro,logistics
29ABCDE1181Z1,2022-06-17,BR,small,trading
29ABCDE1182Z2,2023-05-28,GJ,medium,trading
29ABCDE1183Z3,2024-03-28,MH,micro,manufacturing
29ABCDE1184Z4,2023-07-10,UP,micro,services
29ABCDE1185Z5,2024-11-11,UP,micro,logistics
29ABCDE1186Z6,2023-01-13,TN,micro,trading
29ABCDE1187Z7,2022-03-27,KA,micro,trading
29ABCDE1188Z8,2023-05-04,UP,micro,trading
29ABCDE1189Z9,2024-05-16,MH,small,manufacturing
29ABCDE1190Z0,2022-09-19,WB,micro,manufacturing
29ABCDE1191Z1,2025-03-29,MH,medium,manufacturing
29ABCDE1192Z2,2022-01-18,KA,micro,logistics
29ABCDE1193Z3,2022-04-08,BR,micro,trading
29ABCDE1194Z4,2024-01-08,KA,small,services
29ABCDE1195Z5,2024-01-13,MH,medium,services
29ABCDE1196Z6,2023-03-04,DL,micro,manufacturing
29ABCDE1197Z7,2023-01-10,BR,micro,manufacturing
29ABCDE1198Z8,2022-04-12,MH,micro,services
29ABCDE1199Z9,2024-08-19,MH,small,manufacturing
29ABCDE1200Z0,2023-07-04,UP,micro,logistics
29ABCDE1201Z1,2022-06-22,WB,micro,manufacturing
29ABCDE1202Z2,2023-08-03,GJ,micro,services
29ABCDE1203Z3,2025-09-20,KA,micro,services
29ABCDE1204Z4,2023-01-14,KA,medium,manufacturing
29ABCDE1205Z5,2025-07-21,MH,small,manufacturing
29ABCDE1206Z6,2023-01-11,KA,micro,logistics
29ABCDE1207Z7,2022-09-27,UP,micro,manufacturing
29ABCDE1208Z8,2023-01-13,KA,micro,trading
29ABCDE1209Z9,2023-04-14,GJ,micro,trading
29ABCDE1210Z0,2022-06-24,UP,small,manufacturing
29ABCDE1211Z1,2024-05-02,DL,medium,services
29ABCDE1212Z2,2023-04-29,MH,medium,services
29ABCDE1213Z3,2024-11-07,BR,medium,trading
29ABCDE1214Z4,2023-12-13,UP,medium,services
29ABCDE1215Z5,2023-10-04,UP,medium,manufacturing
29ABCDE1216Z6,2023-11-14,KA,micro,manufacturing
29ABCDE1217Z7,2022-08-15,KA,micro,trading
29ABCDE1218Z8,2024-10-30,WB,micro,logistics
29ABCDE1219Z9,2022-06-01,TN,small,manufacturing
29ABCDE1220Z0,2024-11-12,MH,micro,manufacturing
29ABCDE1221Z1,2025-12-20,GJ,small,trading
29ABCDE1222Z2,2025-01-12,UP,small,services
29ABCDE1223Z3,2023-10-23,WB,small,manufacturing
29ABCDE1224Z4,2023-04-01,MH,micro,trading
29ABCDE1225Z5,2025-06-19,WB,micro,services
29ABCDE1226Z6,2023-01-08,KA,micro,trading
29ABCDE1227Z7,2023-12-01,GJ,medium,manufacturing
29ABCDE1228Z8,2025-01-22,DL,small,manufacturing
29ABCDE1229Z9,2025-08-30,KA,small,trading
29ABCDE1230Z0,2025-08-28,KA,micro,trading
29ABCDE1231Z1,2022-05-08,TN,micro,services
29ABCDE1232Z2,2025-07-26,WB,micro,services
29ABCDE1233Z3,2022-06-15,DL,small,services
29ABCDE1234Z4,2024-04-27,WB,small,logistics
29ABCDE1235Z5,2025-09-09,BR,micro,trading
29ABCDE1236Z6,2024-08-07,GJ,medium,trading
29ABCDE1237Z7,2025-10-05,UP,micro,logistics
29ABCDE1238Z8,2023-05-15,KA,medium,manufacturing
29ABCDE1239Z9,2023-04-02,KA,micro,services
29ABCDE1240Z0,2023-04-19,BR,micro,services
29ABCDE1241Z1,2023-05-30,UP,small,manufacturing
29ABCDE1242Z2,2024-09-17,MH,micro,trading
29ABCDE1243Z3,2023-10-19,GJ,micro,manufacturing
29ABCDE1244Z4,2024-12-05,DL,micro,manufacturing
29ABCDE1245Z5,2023-08-27,BR,micro,trading
29ABCDE1246Z6,2023-03-23,DL,small,manufacturing
29ABCDE1247Z7,2022-10-03,TN,medium,services
29ABCDE1248Z8,2024-03-10,TN,medium,logistics
29ABCDE1249Z9,2025-07-26,TN,micro,services
29ABCDE1250Z0,2025-05-30,DL,small,manufacturing
29ABCDE1251Z1,2023-01-03,BR,micro,manufacturing
29ABCDE1252Z2,2023-11-24,GJ,micro,manufacturing
29ABCDE1253Z3,2024-10-19,MH,micro,manufacturing
29ABCDE1254Z4,2024-06-07,MH,medium,logistics
29ABCDE1255Z5,2022-04-08,UP,medium,trading
29ABCDE1256Z6,2024-05-07,BR,small,manufacturing
29ABCDE1257Z7,2022-02-26,KA,micro,services
29ABCDE1258Z8,2022-06-18,KA,micro,trading
29ABCDE1259Z9,2024-08-05,DL,small,manufacturing
29ABCDE1260Z0,2022-05-29,KA,small,manufacturing
29ABCDE1261Z1,2023-05-07,BR,micro,services
29ABCDE1262Z2,2024-05-03,MH,micro,services
29ABCDE1263Z3,2024-08-08,KA,micro,manufacturing
29ABCDE1264Z4,2023-10-09,WB,medium,logistics
29ABCDE1265Z5,2022-05-17,MH,micro,services
29ABCDE1266Z6,2025-03-04,MH,medium,services
29ABCDE1267Z7,2025-10-09,KA,micro,manufacturing
29ABCDE1268Z8,2025-07-12,KA,small,manufacturing
29ABCDE1269Z9,2024-12-21,KA,micro,services
29ABCDE1270Z0,2023-08-07,KA,micro,trading
29ABCDE1271Z1,2025-06-24,MH,micro,services
29ABCDE1272Z2,2023-12-09,KA,micro,services
29ABCDE1273Z3,2022-07-17,DL,medium,manufacturing
29ABCDE1274Z4,2025-05-18,UP,micro,services
29ABCDE1275Z5,2023-04-10,TN,small,logistics
29ABCDE1276Z6,2025-09-23,MH,micro,services
29ABCDE1277Z7,2023-06-19,GJ,micro,trading
29ABCDE1278Z8,2025-06-14,BR,small,logistics
29ABCDE1279Z9,2024-02-18,BR,micro,trading
29ABCDE1280Z0,2023-11-09,KA,medium,services
29ABCDE1281Z1,2023-03-07,MH,small,services
29ABCDE1282Z2,2025-04-26,MH,small,services
29ABCDE1283Z3,2022-03-29,MH,micro,manufacturing
29ABCDE1284Z4,2023-11-11,DL,micro,manufacturing
29ABCDE1285Z5,2023-06-19,TN,medium,manufacturing
29ABCDE1286Z6,2024-02-27,KA,micro,trading
29ABCDE1287Z7,2023-01-05,TN,micro,trading
29ABCDE1288Z8,2024-08-21,GJ,micro,trading
29ABCDE1289Z9,2023-07-14,KA,small,trading
29ABCDE1290Z0,2022-09-30,BR,small,services
29ABCDE1291Z1,2022-10-13,KA,small,logistics
29ABCDE1292Z2,2024-10-06,WB,small,manufacturing
29ABCDE1293Z3,2023-01-15,KA,micro,services
29ABCDE1294Z4,2023-03-22,BR,medium,services
29ABCDE1295Z5,2024-06-28,WB,micro,trading
29ABCDE1296Z6,2023-04-24,WB,small,manufacturing
29ABCDE1297Z7,2023-07-17,BR,micro,services
29ABCDE1298Z8,2022-12-21,UP,medium,logistics
29ABCDE1299Z9,2023-05-16,DL,micro,services
29ABCDE1300Z0,2024-10-01,UP,micro,logistics
29ABCDE1301Z1,2024-02-14,KA,micro,logistics
29ABCDE1302Z2,2025-12-17,GJ,micro,trading
29ABCDE1303Z3,2025-01-24,GJ,micro,services
29ABCDE1304Z4,2022-01-25,BR,small,trading
29ABCDE1305Z5,2023-07-04,GJ,micro,logistics
29ABCDE1306Z6,2023-02-25,TN,medium,manufacturing
29ABCDE1307Z7,2024-05-01,DL,micro,trading
29ABCDE1308Z8,2023-01-21,MH,small,logistics
29ABCDE1309Z9,2025-11-01,KA,micro,manufacturing
29ABCDE1310Z0,2023-03-11,GJ,small,services
29ABCDE1311Z1,2024-01-27,TN,small,trading
29ABCDE1312Z2,2022-06-28,MH,micro,logistics
29ABCDE1313Z3,2025-08-12,TN,medium,logistics
29ABCDE1314Z4,2025-08-15,TN,micro,trading
29ABCDE1315Z5,2025-02-24,MH,micro,services
29ABCDE1316Z6,2023-05-25,TN,small,trading
29ABCDE1317Z7,2022-03-27,UP,small,services
29ABCDE1318Z8,2024-10-27,MH,micro,services
29ABCDE1319Z9,2023-09-15,WB,micro,services
29ABCDE1320Z0,2025-12-07,WB,medium,manufacturing
29ABCDE1321Z1,2024-10-09,GJ,small,manufacturing
29ABCDE1322Z2,2024-02-21,MH,medium,services
29ABCDE1323Z3,2025-12-01,GJ,small,trading
29ABCDE1324Z4,2025-03-06,BR,small,trading
29ABCDE1325Z5,2023-10-27,DL,micro,manufacturing
29ABCDE1326Z6,2022-01-28,BR,medium,trading
29ABCDE1327Z7,2022-05-15,GJ,micro,services
29ABCDE1328Z8,2023-10-06,DL,small,manufacturing
29ABCDE1329Z9,2024-03-25,MH,micro,trading
29ABCDE1330Z0,2022-02-13,UP,small,logistics
29ABCDE1331Z1,2022-07-03,MH,small,manufacturing
29ABCDE1332Z2,2024-10-18,UP,micro,services
29ABCDE1333Z3,2024-12-25,BR,medium,manufacturing
29ABCDE1334Z4,2022-02-13,KA,micro,services
29ABCDE1335Z5,2024-01-07,DL,small,services
29ABCDE1336Z6,2022-04-28,KA,micro,logistics
29ABCDE1337Z7,2024-11-14,UP,micro,manufacturing
29ABCDE1338Z8,2025-04-24,KA,micro,trading
29ABCDE1339Z9,2025-06-14,WB,micro,services
29ABCDE1340Z0,2024-05-17,KA,micro,manufacturing
29ABCDE1341Z1,2024-06-30,WB,small,manufacturing
29ABCDE1342Z2,2025-09-05,BR,small,manufacturing
29ABCDE1343Z3,2024-06-07,DL,small,logistics
29ABCDE1344Z4,2023-10-10,UP,micro,services
29ABCDE1345Z5,2024-12-30,UP,micro,services
29ABCDE1346Z6,2024-05-06,WB,micro,services
29ABCDE1347Z7,2025-05-06,MH,small,trading
29ABCDE1348Z8,2024-01-31,DL,medium,trading
29ABCDE1349Z9,2025-06-14,KA,micro,trading
29ABCDE1350Z0,2022-03-07,DL,small,services
29ABCDE1351Z1,2022-02-22,MH,micro,manufacturing
29ABCDE1352Z2,2022-05-24,GJ,micro,logistics
29ABCDE1353Z3,2024-03-17,DL,micro,services
29ABCDE1354Z4,2024-10-25,GJ,micro,trading
29ABCDE1355Z5,2022-11-10,GJ,small,trading
29ABCDE1356Z6,2022-08-14,UP,medium,manufacturing
29ABCDE1357Z7,2025-06-01,UP,micro,logistics
29ABCDE1358Z8,2024-12-24,GJ,small,logistics
29ABCDE1359Z9,2024-07-29,DL,small,logistics
29ABCDE1360Z0,2023-12-10,WB,medium,trading
29ABCDE1361Z1,2023-09-02,KA,small,manufacturing
29ABCDE1362Z2,2022-01-30,KA,micro,manufacturing
29ABCDE1363Z3,2022-09-30,KA,small,manufacturing
29ABCDE1364Z4,2025-07-24,DL,micro,manufacturing
29ABCDE1365Z5,2023-05-07,TN,medium,manufacturing
29ABCDE1366Z6,2024-10-18,UP,micro,logistics
29ABCDE1367Z7,2024-10-17,UP,small,manufacturing
29ABCDE1368Z8,2023-03-25,TN,micro,manufacturing
29ABCDE1369Z9,2022-10-24,BR,micro,services
29ABCDE1370Z0,2024-09-29,UP,medium,trading
29ABCDE1371Z1,2022-05-16,MH,small,services
29ABCDE1372Z2,2023-12-19,TN,micro,services
29ABCDE1373Z3,2025-07-11,MH,medium,logistics
29ABCDE1374Z4,2024-10-28,KA,medium,services
29ABCDE1375Z5,2025-01-13,KA,micro,trading
29ABCDE1376Z6,2022-05-01,WB,small,services
29ABCDE1377Z7,2022-10-17,TN,micro,trading
29ABCDE1378Z8,2023-02-03,TN,small,trading
29ABCDE1379Z9,2023-02-28,UP,micro,trading
29ABCDE1380Z0,2022-10-09,GJ,micro,manufacturing
29ABCDE1381Z1,2025-11-10,WB,medium,services
29ABCDE1382Z2,2022-08-28,UP,medium,manufacturing
29ABCDE1383Z3,2024-10-23,GJ,small,manufacturing
29ABCDE1384Z4,2024-04-30,TN,medium,manufacturing
29ABCDE1385Z5,2024-06-04,WB,small,services
29ABCDE1386Z6,2022-11-08,UP,small,trading
29ABCDE1387Z7,2023-03-23,WB,small,services
29ABCDE1388Z8,2024-05-29,KA,micro,services
29ABCDE1389Z9,2023-03-10,BR,micro,manufacturing
29ABCDE1390Z0,2024-10-03,DL,micro,services
29ABCDE1391Z1,2022-02-27,KA,small,trading
29ABCDE1392Z2,2022-04-16,DL,micro,manufacturing
29ABCDE1393Z3,2024-11-22,UP,micro,services
29ABCDE1394Z4,2024-06-13,KA,small,logistics
29ABCDE1395Z5,2022-03-04,GJ,micro,trading
29ABCDE1396Z6,2025-07-27,BR,micro,trading
29ABCDE1397Z7,2022-01-08,MH,small,manufacturing
29ABCDE1398Z8,2025-10-17,GJ,medium,trading
29ABCDE1399Z9,2024-11-23,TN,micro,services
29ABCDE1400Z0,2025-12-03,MH,micro,services
29ABCDE1401Z1,2025-10-07,WB,micro,services
29ABCDE1402Z2,2023-03-31,UP,small,manufacturing
29ABCDE1403Z3,2025-01-01,KA,small,services
29ABCDE1404Z4,2022-11-02,WB,micro,services
29ABCDE1405Z5,2023-11-15,BR,small,services
29ABCDE1406Z6,2022-12-15,MH,micro,manufacturing
29ABCDE1407Z7,2023-12-06,BR,micro,trading
29ABCDE1408Z8,2025-06-18,KA,medium,trading
29ABCDE1409Z9,2023-09-25,WB,micro,manufacturing
29ABCDE1410Z0,2022-05-14,UP,micro,manufacturing
29ABCDE1411Z1,2023-04-16,DL,micro,trading
29ABCDE1412Z2,2025-02-14,KA,small,services
29ABCDE1413Z3,2024-01-27,BR,medium,manufacturing
29ABCDE1414Z4,2024-03-23,KA,medium,services
29ABCDE1415Z5,2023-09-18,MH,micro,trading
29ABCDE1416Z6,2023-03-01,KA,micro,services
29ABCDE1417Z7,2024-05-17,UP,small,trading
29ABCDE1418Z8,2024-07-06,MH,micro,trading
29ABCDE1419Z9,2025-07-26,WB,medium,services
29ABCDE1420Z0,2024-06-14,DL,small,logistics
29ABCDE1421Z1,2025-12-13,KA,micro,trading
29ABCDE1422Z2,2025-04-13,KA,small,trading
29ABCDE1423Z3,2022-04-25,KA,micro,services
29ABCDE1424Z4,2023-07-23,DL,micro,services
29ABCDE1425Z5,2023-07-12,BR,small,manufacturing
29ABCDE1426Z6,2022-01-05,MH,micro,trading
29ABCDE1427Z7,2022-09-20,BR,small,trading
29ABCDE1428Z8,2025-01-10,KA,small,logistics
29ABCDE1429Z9,2023-05-26,BR,medium,trading
29ABCDE1430Z0,2022-08-03,WB,medium,trading
29ABCDE1431Z1,2023-02-21,UP,micro,logistics
29ABCDE1432Z2,2023-02-03,UP,micro,trading
29ABCDE1433Z3,2022-09-11,BR,small,manufacturing
29ABCDE1434Z4,2022-05-27,KA,medium,manufacturing
29ABCDE1435Z5,2025-01-12,MH,micro,manufacturing
29ABCDE1436Z6,2025-04-10,KA,micro,manufacturing
29ABCDE1437Z7,2023-12-21,GJ,micro,trading
29ABCDE1438Z8,2024-06-11,UP,micro,services
29ABCDE1439Z9,2025-08-25,DL,small,services
29ABCDE1440Z0,2025-05-06,BR,micro,manufacturing
29ABCDE1441Z1,2022-02-17,KA,small,trading
29ABCDE1442Z2,2025-10-13,UP,small,manufacturing
29ABCDE1443Z3,2022-04-08,MH,small,logistics
29ABCDE1444Z4,2022-02-08,MH,micro,manufacturing
29ABCDE1445Z5,2023-08-08,UP,micro,services
29ABCDE1446Z6,2024-12-17,WB,small,trading
29ABCDE1447Z7,2022-04-27,DL,small,services
29ABCDE1448Z8,2023-03-01,KA,micro,trading
29ABCDE1449Z9,2023-01-16,DL,medium,services
29ABCDE1450Z0,2023-07-31,KA,micro,manufacturing
29ABCDE1451Z1,2025-11-30,BR,medium,logistics
29ABCDE1452Z2,2023-04-26,UP,micro,trading
29ABCDE1453Z3,2022-10-30,MH,micro,services
29ABCDE1454Z4,2022-06-27,KA,small,services
29ABCDE1455Z5,2022-10-15,MH,micro,logistics
29ABCDE1456Z6,2022-07-13,WB,micro,manufacturing
29ABCDE1457Z7,2024-04-11,GJ,micro,manufacturing
29ABCDE1458Z8,2023-09-02,UP,micro,manufacturing
29ABCDE1459Z9,2023-12-24,DL,small,manufacturing
29ABCDE1460Z0,2025-04-21,DL,micro,trading
29ABCDE1461Z1,2024-04-21,KA,small,logistics
29ABCDE1462Z2,2022-08-13,WB,small,logistics
29ABCDE1463Z3,2023-07-01,MH,micro,trading
29ABCDE1464Z4,2023-03-30,DL,micro,services
29ABCDE1465Z5,2025-04-13,UP,medium,services
29ABCDE1466Z6,2023-03-22,DL,small,logistics
29ABCDE1467Z7,2022-07-20,WB,small,manufacturing
29ABCDE1468Z8,2024-12-03,KA,small,trading
29ABCDE1469Z9,2023-09-14,GJ,micro,services
29ABCDE1470Z0,2022-05-20,TN,micro,trading
29ABCDE1471Z1,2024-09-27,GJ,small,trading
29ABCDE1472Z2,2022-11-02,KA,micro,logistics
29ABCDE1473Z3,2025-06-12,KA,small,logistics
29ABCDE1474Z4,2025-04-22,MH,micro,logistics
29ABCDE1475Z5,2023-06-20,MH,small,services
29ABCDE1476Z6,2024-03-16,TN,micro,manufacturing
29ABCDE1477Z7,2024-04-03,DL,micro,trading
29ABCDE1478Z8,2024-08-05,DL,micro,trading
29ABCDE1479Z9,2022-04-11,TN,micro,trading
29ABCDE1480Z0,2023-04-17,TN,small,trading
29ABCDE1481Z1,2022-09-04,MH,micro,services
29ABCDE1482Z2,2024-10-08,DL,micro,trading
29ABCDE1483Z3,2022-04-11,MH,micro,services
29ABCDE1484Z4,2024-01-20,KA,micro,trading
29ABCDE1485Z5,2024-11-21,TN,small,trading
29ABCDE1486Z6,2025-10-07,GJ,micro,manufacturing
29ABCDE1487Z7,2023-02-22,MH,medium,manufacturing
29ABCDE1488Z8,2022-01-12,DL,micro,services
