monthly_revenue,net_profit,debt,emi,gst_compliance,past_disputes,business_age,collateral_type,default_label
150000,40176,107662,2214,1,0,138,1,0
140000,17350,270847,3516,1,0,146,2,0
50000,12301,30303,655,1,1,180,1,0
190000,14164,282830,5931,1,0,126,1,0
90000,12901,35927,520,1,0,141,1,0
90000,9386,53666,554,1,0,48,0,0
90000,18690,71856,1773,1,0,93,0,0
130000,16877,201937,4030,0,1,126,0,0
90000,14785,176895,2218,1,0,17,1,0
140000,8254,218798,2931,1,0,107,2,0
80000,14308,115418,2616,1,0,159,0,0
60000,14804,75879,735,1,0,41,0,0
140000,16271,238974,4791,1,0,68,2,0
110000,21080,51978,1149,0,0,79,2,0
190000,30170,247777,3727,1,0,113,0,0
160000,29100,98314,1924,1,0,6,2,0
60000,14259,99091,2339,0,0,163,1,0
100000,13786,92887,1285,1,0,103,2,1
100000,14312,32125,543,1,0,139,1,0
610000,125414,202893,1865,1,0,74,1,0
300000,89902,185895,2040,1,0,24,0,0
570000,48244,199222,4040,1,0,124,1,0
320000,31870,558814,5928,0,0,107,1,0
410000,21702,753365,13560,1,1,115,2,0
640000,117886,422969,4855,1,0,60,1,1
580000,157612,1153280,24842,1,0,10,0,0
470000,37728,516864,12150,0,0,168,0,1
470000,108036,435165,9808,1,0,82,2,0
900000,48496,734022,17383,1,0,112,0,0
900000,150447,1713082,15589,1,0,96,1,1
530000,109362,622787,11516,1,0,128,2,1
710000,120980,674113,10845,1,0,19,1,0
440000,132688,641008,8569,1,1,28,0,1
660000,188735,652722,12600,1,0,176,2,0
800000,223214,1420593,17287,1,0,49,2,0
810000,165415,888703,16700,0,0,9,2,1
270000,35074,68227,719,1,1,136,2,0
410000,104649,181198,3765,1,0,20,0,0
890000,225377,436261,9486,1,0,4,1,0
490000,110724,338351,6420,1,0,121,0,0
460000,95910,752286,12090,1,0,30,0,1
440000,70051,205118,2173,1,0,179,2,0
780000,218214,1430281,26595,1,0,177,1,0
960000,233011,809127,14085,1,0,102,1,0
960000,225732,253086,4807,1,0,86,0,0
360000,93688,571098,12498,1,0,153,0,0
990000,194141,230648,5253,0,0,61,2,0
410000,32963,95979,901,1,0,152,0,0
960000,61716,441691,7519,1,1,16,1,0
750000,140031,402559,3897,1,0,71,2,0
770000,114002,997071,16710,1,0,30,2,0
780000,80145,958225,13398,1,0,25,1,0
400000,119670,589707,5811,0,0,96,0,0
970000,190989,1368484,31329,1,0,14,1,0
280000,46099,207507,4659,1,0,30,1,0
880000,274857,709972,13521,0,1,178,1,1
760000,93609,382320,8729,1,0,37,2,0
270000,48087,90745,994,1,0,146,2,0
320000,69479,71832,1129,1,0,107,1,0
290000,43689,486761,8004,1,0,102,2,1
440000,41954,121729,1680,0,0,45,0,0
380000,74501,514584,7694,1,0,118,0,0
540000,83884,696338,10503,1,0,159,1,0
270000,66883,214498,3661,1,0,87,0,0
260000,54491,67124,1428,1,1,166,0,1
400000,34757,171098,1641,1,0,119,2,0
740000,205904,735017,10085,1,0,113,0,0
440000,47579,663228,8958,1,0,74,0,0
690000,121060,252743,5442,1,0,147,2,0
580000,46417,640031,14925,1,0,130,2,1
770000,230368,294865,4246,1,0,87,2,0
720000,43982,1208433,15793,1,0,155,0,0
730000,196071,1208920,23415,0,0,22,1,0
830000,217389,1518036,31342,1,0,166,2,0
210000,29126,140882,2973,0,1,40,0,1
610000,118200,218355,4229,1,0,153,1,0
870000,224269,217206,3394,1,0,61,1,0
830000,85358,1631445,34923,1,0,174,2,0
820000,200632,581651,6418,0,0,65,0,0
640000,51764,592373,7751,1,0,132,0,0
960000,100299,292681,2569,0,0,61,1,0
380000,45324,325794,4536,0,0,121,2,0
580000,127822,591022,7049,0,1,156,2,1
390000,29739,319596,5981,0,0,128,2,0
610000,62591,871836,16199,1,0,171,2,1
250000,45445,248541,4367,1,0,163,1,0
800000,101782,496450,9574,0,0,86,0,1
470000,105572,791801,19542,1,0,35,0,0
230000,24436,216866,2948,1,0,140,1,0
350000,51473,653029,9055,0,0,103,2,0
470000,47197,321327,6948,1,0,109,0,0
640000,76390,254896,3426,1,0,177,1,0
780000,221743,257776,4895,1,0,172,2,0
840000,201400,959935,17720,1,0,18,0,0
2450000,638204,1412962,22370,1,0,20,2,1
2590000,522543,1441916,29696,1,0,144,0,0
3820000,404774,3235503,80814,1,0,19,1,0
2780000,207292,5130549,70082,1,0,139,1,0
3850000,1114932,1686719,28358,0,0,36,0,0
2440000,468018,1207565,12675,1,0,102,2,0
2640000,408252,2970863,40455,0,0,133,1,1
3560000,371648,5100121,119913,0,0,40,1,1
4740000,549305,3599788,47040,0,0,142,1,1
3460000,260973,2753829,49599,0,0,155,1,0
1160000,282658,2260314,47882,1,0,147,1,0
2990000,592296,1456115,23855,1,0,77,1,0
1630000,249082,492354,5282,1,0,89,1,0
3060000,222132,1717459,27182,0,0,99,2,0
4250000,1257886,1092038,12000,1,0,79,1,0
3020000,830665,2042872,18745,1,1,168,2,0
1030000,73383,1302407,18793,1,0,14,2,0
3210000,219696,2831869,36801,1,0,31,0,0
2490000,747320,1700180,18256,1,0,11,0,1
2330000,389080,3742587,63344,1,0,42,1,0
4370000,868413,6597451,108841,1,0,5,1,1
4920000,1021165,2054579,40682,0,0,168,2,0
1210000,206833,2082631,44242,1,0,63,0,0
1440000,75881,1658061,32899,1,0,121,2,0
1550000,152322,2576452,44035,1,0,137,1,0
4090000,968635,6925651,128133,0,0,143,1,1
4080000,958117,3037566,49604,1,1,71,1,1
3170000,850073,4264077,90474,0,0,21,1,0
2030000,324097,3123313,74596,1,0,158,2,0
1200000,313364,323821,3239,1,0,175,0,0
4910000,452808,9233979,150160,1,0,74,1,0
4630000,340018,1669327,34030,1,1,45,1,0
4740000,298894,2068480,23660,1,1,75,0,1
3410000,930270,4959330,94336,1,1,35,2,0
4240000,588527,1672619,33971,0,0,76,2,0
1700000,484506,761765,12890,0,0,48,0,0
1030000,148670,288501,3989,1,0,67,2,0
1250000,95603,402031,6717,1,0,80,2,0
2470000,283646,1825555,29056,1,0,180,2,0
4210000,1135980,7074239,129201,1,0,136,2,0
1450000,402980,1743127,30117,0,1,114,0,0
3330000,242712,6022945,95708,1,0,15,2,0
3890000,616241,3395590,61025,0,0,17,2,0
4940000,794665,1254732,13288,1,0,108,1,0
2790000,760097,1506949,36773,1,0,90,0,0
2570000,230458,4715492,98725,1,0,140,1,0
1990000,259523,957634,19552,0,0,108,2,0
1960000,133433,654507,12785,1,0,12,1,0
1870000,453178,2812285,36994,1,0,82,2,0
4270000,501492,8478920,144318,1,0,143,2,0
3500000,548320,1720905,41347,1,0,82,2,0
2200000,212735,599039,7242,1,0,119,0,0
3230000,255906,1943389,37142,1,0,24,2,0
1210000,178259,256356,2447,1,0,172,2,0
4480000,651481,916609,21955,1,0,123,0,0
1820000,512667,3231435,47430,1,0,67,1,0
2860000,748909,2519129,34438,1,0,12,2,0
1580000,197831,2495046,38157,0,0,98,2,0
3200000,885053,2821377,46488,1,0,118,0,0
1680000,385628,1610195,27967,1,0,9,0,0
1190000,56948,1940535,18369,0,0,117,1,1
3670000,746640,5460426,46105,1,0,136,2,0
1070000,280453,966300,22704,0,0,39,0,1
2010000,295041,2168829,52749,1,0,179,0,0
3610000,1004626,823261,12064,1,0,3,2,1
4380000,893953,4330351,106371,1,1,59,0,0
4550000,698699,4888284,116144,1,0,9,0,0
1060000,100219,964966,21244,1,0,145,0,0
3710000,670915,3227227,69412,1,0,89,0,0
4350000,619524,2116090,31625,1,0,70,1,0
3210000,432756,2545330,37335,1,0,64,2,0
1620000,379117,1409121,19180,0,0,79,1,0
1410000,99874,1097674,18522,0,0,142,0,0
4450000,232157,3958651,80812,1,1,63,2,0
2520000,204979,3762672,35323,1,0,124,0,0
15810000,2814331,5333638,56491,0,0,159,1,0
11600000,1947122,9576014,174665,1,0,178,0,0
19470000,5451489,7953248,131362,1,0,97,1,0
10480000,2787936,10465668,118598,1,0,119,2,0
17470000,1257319,15679724,306533,0,0,65,2,1
16840000,1266587,12455156,186994,1,1,178,1,0
15520000,4001412,14855754,150877,1,0,43,2,0
19750000,4245536,34615485,845608,1,0,67,0,0
13370000,2801477,18371979,294890,1,0,39,1,0
6570000,1105169,3666288,88032,0,0,117,0,0
12140000,2013053,8005781,106779,1,0,88,2,0
18950000,4469821,6927610,95946,1,0,104,2,0
14860000,2317637,27982827,442863,1,0,55,0,0
17130000,1034869,32067006,367146,1,0,68,2,0
19490000,2445846,27140683,277845,1,0,45,2,0
18780000,3837541,12330814,151787,0,0,37,2,0
7070000,966865,11562997,229994,1,1,143,0,0
7810000,2083063,3589919,86867,1,0,99,2,0
11140000,2007423,8042254,89437,1,0,57,1,1
13060000,1191941,5521187,116490,1,0,30,1,0
13130000,3303967,9462572,113321,1,0,168,0,0
11750000,1713523,3897721,97051,1,0,151,2,0
14150000,2273762,25255618,552900,1,0,137,1,0
9850000,2132434,2759999,62469,1,0,25,0,0
18780000,6009722,10581480,240919,1,0,64,2,0
13660000,1573210,4584262,86614,1,0,132,2,0
11820000,2066497,11045245,247997,0,1,163,2,0
16940000,2768324,7579876,125664,1,0,141,2,0
16820000,4842242,8796380,165105,1,0,41,1,0
8030000,1652526,6624739,72759,1,0,168,1,0
14970000,2892251,12167648,248623,1,0,24,2,0
12150000,955235,4908537,41664,1,0,109,2,0
8430000,647078,1946997,28152,1,0,35,2,0
6030000,1176050,1502887,21321,1,0,106,2,0
6300000,497126,2374295,34983,1,0,36,0,0
8720000,1823422,2489353,59798,0,0,78,0,0
7830000,1192216,13967167,301174,1,0,62,1,0
12920000,4174378,6203891,65346,1,0,94,2,0
19320000,4233830,10312365,130999,0,0,102,2,0
12520000,2004052,13551996,234125,1,0,80,0,0
19610000,1681868,7372010,155208,1,0,80,2,0
5870000,414514,1972388,36451,1,0,45,0,0
15520000,1539573,5539113,118444,1,0,33,2,0
15990000,1373120,10673413,165318,1,0,148,2,0
12660000,866571,7386359,80919,1,1,173,2,1
12630000,826481,15718685,254581,1,0,10,2,0
16110000,2405607,22815894,464033,1,0,96,0,0
7690000,2116746,3739061,35454,1,0,80,1,0
5120000,519404,3338008,62461,1,0,127,0,0
16410000,1645849,23138693,282677,1,0,3,1,1
10640000,2399236,12823268,316973,1,1,37,2,1
18820000,5183140,7720982,112275,1,0,25,2,0
6120000,1159490,6010508,73806,1,0,101,2,0
9770000,1054696,5875251,125333,1,0,43,1,0
6810000,1001875,4943778,79376,1,0,176,1,0
14050000,1561720,16133949,325679,1,0,13,2,1
5470000,818605,2321597,29014,1,0,36,0,0
6960000,1735679,2708061,51665,1,0,20,0,0
18540000,2760893,8742044,193688,1,0,119,0,0
11500000,2655680,15901389,245587,1,1,71,1,1
5520000,1072987,1592694,24209,1,0,72,1,0
14640000,3466635,7294031,126874,0,0,92,1,0
10160000,1875367,6453813,56585,1,0,72,0,0
12940000,3440261,12771650,127745,1,0,15,0,0
10320000,2866314,6068678,110502,1,0,152,0,0
19210000,3713507,11412984,283043,1,0,80,0,0
5840000,1058050,2005437,27800,1,0,88,2,0
5890000,532967,3362167,34234,1,0,19,1,0
10930000,789958,12421417,136119,1,0,125,2,0
19530000,4737003,34899950,420682,1,0,79,2,0
7670000,402581,2852093,64208,1,0,47,2,0
8310000,1729335,9478746,196738,1,1,43,2,0
17320000,3939960,5208554,44394,1,0,90,1,0
5020000,769557,9884891,228102,1,0,140,1,1
16830000,3442749,10313279,163515,1,0,6,1,0
